Player,Country,Mat,Inns,NO,fifties,hundreds,zeros,HS ,Runs,Batting_sr,Batting_avg,Ca,St,PerRuns
"Thirimanne, H D R L",Sri Lanka,5,5,1,1,0,0,53,143,87.73,35.75,0,0, 8.82
"Khawaja, U T",Australia,9,9,0,2,0,0,89,316,88.27,35.11,5,0, 10.89
"Buttler, J C",England,11,9,0,2,1,0,103,312,122.83,34.67,12,2, 9.80
"Hope, S D",West Indies,9,8,0,3,0,0,96,274,70.44,34.25,16,0, 13.92
"Miller, D A",South Africa,6,4,0,0,0,0,38,136,86.62,34,0,0, 7.03
"Phehlukwayo, A L",South Africa,9,7,3,0,0,1,46*,133,85.26,33.25,1,0, 6.88
"Neesham, J D S",New Zealand,10,8,1,1,0,0,97*,232,78.91,33.14,4,0, 10.77
"Coulter-Nile, N M",Australia,5,3,0,1,0,0,92,98,136.11,32.67,0,0, 3.38
"Pandya, H H",India,9,9,2,0,0,1,48,226,112.44,32.29,3,0, 8.98
Mohammad Hafeez,Pakistan,8,8,0,1,0,0,84,253,88.77,31.63,5,0, 12.49
"Brathwaite, C R",West Indies,8,6,1,0,1,0,101,154,106.21,30.8,1,0, 7.82
"Gayle, C H",West Indies,9,8,0,2,0,1,87,242,88.32,30.25,4,0, 12.29
Tamim Iqbal,Bangladesh,8,8,0,1,0,0,62,235,71.65,29.38,3,0, 10.32
"Pant, R R",India,4,4,0,0,0,0,48,116,89.23,29,1,0, 4.61
"Shankar, V",India,3,3,1,0,0,0,29,58,77.33,29,2,0, 2.31
"Rabada, K",South Africa,9,4,2,0,0,0,31*,58,82.86,29,3,0, 3.00
Mohammad Saifuddin,Bangladesh,7,5,2,1,0,1,51*,87,120.83,29,1,0, 3.82
Najibullah Zadran,Afghanistan,8,8,0,1,0,0,51,230,88.8,28.75,2,0, 12.56
